Date,KBANK
2010-08-24,108.75
2010-08-25,106.75
2010-08-26,104.75
2010-08-27,104.5
2010-08-30,108.25
2010-08-31,108.5
2010-09-01,112.25
2010-09-02,115.25
2010-09-03,112.5
2010-09-06,112.75
2010-09-07,111.5
2010-09-08,108.5
2010-09-09,109.5
2010-09-10,108.25
2010-09-13,110.5
2010-09-14,110.0
2010-09-15,105.75
2010-09-16,106.0
2010-09-17,106.5
2010-09-20,107.0
2010-09-21,107.75
2010-09-22,111.25
2010-09-23,113.75
2010-09-24,113.0
2010-09-27,113.25
2010-09-28,114.0
2010-09-29,115.5
2010-09-30,116.5
2010-10-01,117.0
2010-10-04,116.5
2010-10-05,116.0
2010-10-06,117.75
2010-10-07,117.25
2010-10-08,116.0
2010-10-11,117.0
2010-10-12,118.0
2010-10-13,119.75
2010-10-14,120.0
2010-10-15,118.0
2010-10-18,117.0
2010-10-19,117.75
2010-10-20,117.5
2010-10-21,118.5
2010-10-22,119.0
2010-10-26,118.75
2010-10-27,117.25
2010-10-28,116.5
2010-10-29,117.0
2010-11-01,119.0
2010-11-02,120.5
2010-11-03,122.75
2010-11-04,124.5
2010-11-05,126.75
2010-11-08,128.0
2010-11-09,127.25
2010-11-10,124.75
2010-11-11,123.75
2010-11-12,120.25
2010-11-15,119.5
2010-11-16,117.5
2010-11-17,114.0
2010-11-18,116.25
2010-11-19,120.75
2010-11-22,122.25
2010-11-23,120.5
2010-11-24,121.0
2010-11-25,120.75
2010-11-26,117.0
2010-11-29,117.25
2010-11-30,119.5
2010-12-01,119.5
2010-12-02,122.5
2010-12-03,124.5
2010-12-07,127.5
2010-12-08,127.25
2010-12-09,127.75
2010-12-13,127.5
2010-12-14,126.5
2010-12-15,125.75
2010-12-16,124.5
2010-12-17,122.75
2010-12-20,122.0
2010-12-21,122.75
2010-12-22,124.75
2010-12-23,126.5
2010-12-24,126.0
2010-12-27,125.5
2010-12-28,124.25
2010-12-29,125.75
2010-12-30,125.75
2011-01-04,127.25
2011-01-05,128.75
2011-01-06,130.75
2011-01-07,130.75
2011-01-10,128.0
2011-01-11,124.25
2011-01-12,124.5
2011-01-13,127.25
2011-01-14,128.5
2011-01-17,127.0
2011-01-18,125.0
2011-01-19,125.25
2011-01-20,123.75
2011-01-21,119.0
2011-01-24,113.75
2011-01-25,114.25
2011-01-26,116.25
2011-01-27,118.0
2011-01-28,117.75
2011-01-31,115.75
2011-02-01,115.25
2011-02-02,117.25
2011-02-03,117.5
2011-02-04,116.5
2011-02-07,113.25
2011-02-08,112.0
2011-02-09,109.75
2011-02-10,105.25
2011-02-11,103.25
2011-02-14,107.75
2011-02-15,113.25
2011-02-16,115.5
2011-02-17,118.5
2011-02-18,118.125
2011-02-21,117.75
2011-02-22,113.75
2011-02-23,112.5
2011-02-24,111.25
2011-02-25,113.0
2011-02-28,115.75
2011-03-01,119.0
2011-03-02,119.0
2011-03-03,120.0
2011-03-04,120.75
2011-03-07,120.0
2011-03-08,122.5
2011-03-09,124.75
2011-03-10,124.5
2011-03-11,122.75
2011-03-14,123.0
2011-03-15,121.25
2011-03-16,120.75
2011-03-17,119.25
2011-03-21,122.25
2011-03-22,125.25
2011-03-23,124.25
2011-03-24,125.75
2011-03-25,127.0
2011-03-28,126.75
2011-03-29,126.25
2011-03-30,128.25
2011-03-31,128.5
2011-04-01,129.25
2011-04-04,132.25
2011-04-05,132.5
