Date,ROBINS
2012-12-20,67.85
2012-12-21,67.9
2012-12-24,67.75
2012-12-25,67.9
2012-12-26,67.9
2012-12-27,67.25
2012-12-28,66.25
2013-01-02,66.75
2013-01-03,67.25
2013-01-04,66.4
2013-01-07,66.4
2013-01-08,67.2
2013-01-09,67.8
2013-01-10,66.7
2013-01-11,66.5
2013-01-14,66.2
2013-01-15,68.0
2013-01-16,68.4
2013-01-17,68.0
2013-01-18,69.25
2013-01-21,70.5
2013-01-22,70.35
2013-01-23,69.85
2013-01-24,71.15
2013-01-25,70.5
2013-01-28,71.25
2013-01-29,70.6
2013-01-30,70.2
2013-01-31,70.1
2013-02-01,69.9
2013-02-04,70.1
2013-02-05,70.5
2013-02-06,71.5
2013-02-07,70.8
2013-02-08,70.0
2013-02-11,69.65
2013-02-12,69.7
2013-02-13,70.75
2013-02-14,71.0
2013-02-15,70.6
2013-02-18,72.75
2013-02-19,76.0
2013-02-20,75.2
2013-02-21,73.75
2013-02-22,73.4
2013-02-26,73.4
2013-02-27,73.4
2013-02-28,73.15
2013-03-01,73.6
2013-03-04,74.25
2013-03-05,77.75
2013-03-06,79.35
2013-03-07,78.4
2013-03-08,78.75
2013-03-11,79.1
2013-03-12,80.15
2013-03-13,79.2
2013-03-14,79.85
2013-03-15,79.9
2013-03-18,78.5
2013-03-19,76.6
2013-03-20,75.5
2013-03-21,75.65
2013-03-22,75.1
2013-03-25,75.6
2013-03-26,75.9
2013-03-27,76.5
2013-03-28,76.5
2013-03-29,76.25
2013-04-01,75.85
2013-04-02,74.35
2013-04-03,73.0
2013-04-04,72.25
2013-04-05,71.6
2013-04-09,70.6
2013-04-10,71.6
2013-04-11,74.15
2013-04-12,73.15
2013-04-17,73.25
2013-04-18,73.5
2013-04-19,73.6
2013-04-22,75.0
2013-04-23,75.25
2013-04-24,76.75
2013-04-25,78.35
2013-04-26,81.3
2013-04-29,80.1
2013-04-30,80.5
2013-05-02,80.3
2013-05-03,80.4
2013-05-07,79.8
2013-05-08,81.0
2013-05-09,82.1
2013-05-10,81.15
2013-05-13,79.5
2013-05-14,80.6
2013-05-15,80.9
2013-05-16,78.75
2013-05-17,79.0
2013-05-20,80.65
2013-05-21,80.85
2013-05-22,81.15
2013-05-23,79.9
2013-05-27,79.9
2013-05-28,79.5
2013-05-29,78.0
2013-05-30,76.5
2013-05-31,76.65
2013-06-03,75.5
2013-06-04,74.5
