Date,MINT
2010-10-20,10.100000000000001
2010-10-21,10.55
2010-10-22,10.45
2010-10-26,10.3
2010-10-27,10.149999999999999
2010-10-28,10.149999999999999
2010-10-29,10.149999999999999
2010-11-01,10.2
2010-11-02,10.2
2010-11-03,10.149999999999999
2010-11-04,10.05
2010-11-05,10.05
2010-11-08,10.15
2010-11-09,10.25
2010-11-10,10.1
2010-11-11,10.0
2010-11-12,9.850000000000001
2010-11-15,9.7
2010-11-16,9.7
2010-11-17,9.649999999999999
2010-11-18,9.5
2010-11-19,9.5
2010-11-22,9.6
2010-11-23,9.4
2010-11-24,9.2
2010-11-25,9.25
2010-11-26,9.3
2010-11-29,9.45
2010-11-30,9.649999999999999
2010-12-01,9.75
2010-12-02,9.7
2010-12-03,9.649999999999999
2010-12-07,9.7
2010-12-08,9.7
2010-12-09,9.75
2010-12-13,10.05
2010-12-14,10.25
2010-12-15,10.4
2010-12-16,10.35
2010-12-17,10.2
2010-12-20,9.95
2010-12-21,9.8
2010-12-22,9.8
2010-12-23,9.75
2010-12-24,9.55
2010-12-27,9.5
2010-12-28,9.55
2010-12-29,9.8
2010-12-30,9.850000000000001
2011-01-04,9.75
2011-01-05,9.75
2011-01-06,9.8
2011-01-07,9.8
2011-01-10,9.65
2011-01-11,9.5
2011-01-12,9.55
2011-01-13,9.75
2011-01-14,9.8
2011-01-17,9.649999999999999
2011-01-18,9.55
2011-01-19,9.45
2011-01-20,9.45
2011-01-21,9.4
2011-01-24,9.2
2011-01-25,8.899999999999999
2011-01-26,8.75
2011-01-27,8.9
2011-01-28,8.95
2011-01-31,8.9
2011-02-01,8.8
2011-02-02,8.850000000000001
2011-02-03,8.9
2011-02-04,8.95
2011-02-07,8.8
2011-02-08,8.8
2011-02-09,8.75
2011-02-10,8.7
2011-02-11,8.55
2011-02-14,8.55
2011-02-15,8.649999999999999
2011-02-16,8.75
2011-02-17,8.9
2011-02-18,8.975000000000001
2011-02-21,9.05
2011-02-22,8.8
2011-02-23,8.649999999999999
2011-02-24,8.649999999999999
2011-02-25,8.7
2011-02-28,8.75
2011-03-01,8.8
2011-03-02,8.649999999999999
2011-03-03,8.8
2011-03-04,9.0
2011-03-07,9.149999999999999
2011-03-08,9.25
2011-03-09,9.4
2011-03-10,9.3
2011-03-11,9.25
2011-03-14,9.1
2011-03-15,8.95
2011-03-16,9.0
2011-03-17,8.850000000000001
2011-03-21,8.850000000000001
2011-03-22,9.0
2011-03-23,8.9
2011-03-24,8.95
2011-03-25,9.3
2011-03-28,9.45
2011-03-29,9.5
2011-03-30,9.8
2011-03-31,9.9
2011-04-01,9.850000000000001
2011-04-04,9.850000000000001
2011-04-05,9.8
2011-04-07,9.8
2011-04-08,9.75
2011-04-11,9.8
2011-04-12,9.8
2011-04-18,9.850000000000001
2011-04-19,9.8
2011-04-20,9.8
2011-04-21,10.05
2011-04-22,10.05
2011-04-25,9.9
2011-04-26,9.9
2011-04-27,9.95
2011-04-28,10.149999999999999
2011-04-29,10.25
2011-05-03,10.4
2011-05-04,10.350000000000001
2011-05-06,10.149999999999999
2011-05-09,10.2
2011-05-10,10.4
2011-05-11,10.5
2011-05-12,10.4
2011-05-13,10.4
2011-05-18,10.1
2011-05-19,10.05
2011-05-20,10.149999999999999
2011-05-23,10.1
2011-05-24,10.1
2011-05-25,10.1
2011-05-26,10.149999999999999
2011-05-27,10.149999999999999
2011-05-30,10.1
2011-05-31,10.1
2011-06-01,10.0
2011-06-02,9.75
2011-06-03,9.8
2011-06-06,9.9
2011-06-07,9.95
2011-06-08,9.65
2011-06-09,9.4
2011-06-10,9.4
2011-06-13,9.4
2011-06-14,9.3
2011-06-15,9.4
2011-06-16,9.2
2011-06-17,9.2
2011-06-20,9.25
2011-06-21,9.25
2011-06-22,9.2
2011-06-23,9.149999999999999
2011-06-24,9.2
2011-06-27,9.2
2011-06-28,9.149999999999999
2011-06-29,9.3
2011-06-30,9.45
2011-07-04,9.649999999999999
2011-07-05,9.8
2011-07-06,9.7
2011-07-07,9.6
2011-07-08,9.7
2011-07-11,9.95
2011-07-12,10.0
2011-07-13,10.149999999999999
2011-07-14,10.149999999999999
2011-07-18,10.25
2011-07-19,10.350000000000001
2011-07-20,10.5
2011-07-21,10.35
2011-07-22,10.45
2011-07-25,10.5
2011-07-26,10.350000000000001
2011-07-27,10.4
2011-07-28,10.5
2011-07-29,10.8
2011-08-01,11.1
2011-08-02,11.2
2011-08-03,11.149999999999999
2011-08-04,10.95
2011-08-05,10.25
2011-08-08,10.0
2011-08-09,9.8
2011-08-10,10.2
2011-08-11,10.1
2011-08-15,10.149999999999999
2011-08-16,10.45
2011-08-17,10.7
2011-08-18,10.75
2011-08-19,10.4
2011-08-22,10.6
2011-08-23,10.7
2011-08-24,10.6
2011-08-25,10.2
2011-08-26,10.0
2011-08-29,10.3
2011-08-30,10.4
2011-08-31,10.55
2011-09-01,10.649999999999999
2011-09-02,10.7
2011-09-05,10.55
2011-09-06,10.45
2011-09-07,10.5
2011-09-08,10.350000000000001
2011-09-09,10.4
2011-09-12,10.2
2011-09-13,10.1
2011-09-14,10.0
2011-09-15,10.0
2011-09-16,10.149999999999999
2011-09-19,9.8
2011-09-20,9.75
2011-09-21,9.8
2011-09-22,9.45
2011-09-23,8.9
2011-09-26,8.45
2011-09-27,8.65
2011-09-28,8.6
2011-09-29,8.4
2011-09-30,8.55
2011-10-03,8.100000000000001
2011-10-04,7.9
2011-10-05,7.9
2011-10-06,8.15
2011-10-07,8.350000000000001
2011-10-10,8.149999999999999
2011-10-11,8.55
2011-10-12,8.649999999999999
2011-10-13,8.55
2011-10-14,8.4
2011-10-17,8.45
2011-10-18,8.3
2011-10-19,8.2
2011-10-20,7.95
2011-10-21,7.95
2011-10-25,8.05
2011-10-26,8.05
2011-10-27,8.149999999999999
2011-10-28,8.3
2011-10-31,8.5
2011-11-01,8.55
2011-11-02,8.45
2011-11-03,8.350000000000001
2011-11-04,8.6
2011-11-07,8.6
2011-11-08,8.7
2011-11-09,8.8
2011-11-10,8.649999999999999
2011-11-11,8.9
2011-11-14,9.0
2011-11-15,8.95
2011-11-16,8.9
2011-11-17,9.0
2011-11-18,8.9
2011-11-21,8.7
2011-11-22,8.6
2011-11-23,8.5
2011-11-24,8.5
